"","Naering","Kjonn","Alder","ContentsCode","Aar","Etne","Sveio","Boemlo","Stord","Fitjar","Tysnes","Kvinnherad","Odda_og_Ullensvang","tot_S"
"24","01-03",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"25","01-03",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"26","01-03",0,"15-74","SysselsatteArb",2020,172,180,340,38,122,231,416,219,1718
"27","05-09",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"28","05-09",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"29","05-09",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"30","05-09",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"31","05-09",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"32","05-09",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"33","05-09",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"34","05-09",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"35","05-09",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"36","05-09",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"37","05-09",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"38","05-09",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"39","05-09",0,"15-74","SysselsatteArb",2020,13,0,0,0,NA,0,NA,6,NA
"40","10-33",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"41","10-33",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"42","10-33",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"43","10-33",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"44","10-33",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"45","10-33",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"46","10-33",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"47","10-33",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"48","10-33",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"49","10-33",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"50","10-33",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"51","10-33",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"52","10-33",0,"15-74","SysselsatteArb",2020,177,48,1101,2330,141,49,1012,984,5842
"53","35-39",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"54","35-39",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"55","35-39",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"56","35-39",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"57","35-39",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"58","35-39",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"59","35-39",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"60","35-39",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"61","35-39",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"62","35-39",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"63","35-39",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"64","35-39",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"65","35-39",0,"15-74","SysselsatteArb",2020,21,3,49,172,15,17,106,126,509
"66","41-43",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"67","41-43",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"68","41-43",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"69","41-43",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"70","41-43",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"71","41-43",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"72","41-43",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"73","41-43",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"74","41-43",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"75","41-43",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"76","41-43",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"77","41-43",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"78","41-43",0,"15-74","SysselsatteArb",2020,242,231,532,639,149,119,556,569,3037
"79","45-47",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"80","45-47",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"81","45-47",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"82","45-47",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"83","45-47",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"84","45-47",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"85","45-47",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"86","45-47",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"87","45-47",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
"88","45-47",0,"15-74","SysselsatteArb",2017,0,0,0,0,0,0,0,0,0
"89","45-47",0,"15-74","SysselsatteArb",2018,0,0,0,0,0,0,0,0,0
"90","45-47",0,"15-74","SysselsatteArb",2019,0,0,0,0,0,0,0,0,0
"91","45-47",0,"15-74","SysselsatteArb",2020,186,142,420,1009,85,167,541,492,3042
"92","49-53",0,"15-74","SysselsatteArb",2008,0,0,0,0,0,0,0,0,0
"93","49-53",0,"15-74","SysselsatteArb",2009,0,0,0,0,0,0,0,0,0
"94","49-53",0,"15-74","SysselsatteArb",2010,0,0,0,0,0,0,0,0,0
"95","49-53",0,"15-74","SysselsatteArb",2011,0,0,0,0,0,0,0,0,0
"96","49-53",0,"15-74","SysselsatteArb",2012,0,0,0,0,0,0,0,0,0
"97","49-53",0,"15-74","SysselsatteArb",2013,0,0,0,0,0,0,0,0,0
"98","49-53",0,"15-74","SysselsatteArb",2014,0,0,0,0,0,0,0,0,0
"99","49-53",0,"15-74","SysselsatteArb",2015,0,0,0,0,0,0,0,0,0
"100","49-53",0,"15-74","SysselsatteArb",2016,0,0,0,0,0,0,0,0,0
