Naering,Kjonn,ContentsCode,Aar,Haugesund_15-74,Haugesund,Sauda,Bokn,Tysvaer,Karmoy,Utsira,Vindafjord,Bokn_67-74,Tysvaer_15-74,Tysvaer_55-66,Tysvaer_67-74,Karmoy_15-74,Karmoy_55-66,KArmoy_67-74,Utsira_15-74,Utsira_55-66,Utsira_67-74,Vindafjord_15-74,Vindafjord_55-66,Vindafjord_67-74
35-39,0,Sysselsatte,2017,183,41,3,117,37,0,0,0,0,68,15,0,212,46,6,0,0,0,73,21,3
35-39,0,Sysselsatte,2018,184,37,3,120,37,0,0,0,0,65,14,0,205,47,3,0,0,0,63,18,3
35-39,0,Sysselsatte,2019,181,37,0,111,40,0,0,0,0,74,17,0,224,46,3,3,3,0,65,21,0
35-39,0,Sysselsatte,2020,197,41,0,114,44,0,0,0,0,66,15,0,230,47,3,0,0,0,65,20,3
41-43,0,Sysselsatte,2008,1134,120,17,193,27,3,28,5,0,497,58,7,1599,192,21,6,3,0,423,77,9
41-43,0,Sysselsatte,2009,1138,119,13,194,28,3,28,6,0,488,63,5,1588,202,22,9,3,0,431,85,9
41-43,0,Sysselsatte,2010,1146,132,19,200,22,3,26,6,0,522,64,7,1630,223,18,12,3,0,420,85,7
41-43,0,Sysselsatte,2011,1230,130,14,204,28,3,24,3,0,719,62,8,1768,234,23,9,0,3,435,88,10
41-43,0,Sysselsatte,2012,1249,147,16,219,26,4,24,4,0,550,66,16,1785,239,23,9,3,0,412,87,10
41-43,0,Sysselsatte,2013,1321,154,20,224,31,9,35,4,3,541,74,13,1892,252,30,10,4,0,435,93,10
41-43,0,Sysselsatte,2014,1304,163,18,225,35,3,36,5,4,552,69,10,1918,264,33,14,5,3,461,92,12
41-43,0,Sysselsatte,2015,1241,179,21,215,37,4,42,7,3,564,80,9,1828,260,28,9,3,0,457,96,9
41-43,0,Sysselsatte,2016,1226,180,21,227,40,4,35,8,3,550,76,9,1818,264,29,9,3,0,465,102,14
41-43,0,Sysselsatte,2017,1242,188,22,238,41,7,40,7,4,571,96,12,1885,255,31,6,3,0,508,103,20
41-43,0,Sysselsatte,2018,1236,185,21,221,38,7,35,6,4,594,90,17,1839,257,29,6,0,0,548,106,21
41-43,0,Sysselsatte,2019,1225,187,23,222,42,5,31,6,3,587,96,19,1835,267,32,6,0,0,527,101,27
41-43,0,Sysselsatte,2020,1146,194,21,218,50,3,34,7,4,570,93,14,1803,283,29,6,3,0,568,96,34
45-47,0,Sysselsatte,2008,2592,326,29,209,23,4,41,7,0,764,100,7,2830,356,33,6,0,0,580,73,10
45-47,0,Sysselsatte,2009,2559,319,42,210,24,3,40,8,0,714,96,13,2750,358,42,3,0,0,540,70,10
45-47,0,Sysselsatte,2010,2539,318,41,230,30,3,33,9,0,747,92,17,2818,364,43,3,0,0,523,75,8
45-47,0,Sysselsatte,2011,2558,322,45,217,29,3,37,8,0,760,93,12,2856,359,48,6,0,0,545,83,9
45-47,0,Sysselsatte,2012,2529,337,51,220,32,0,39,12,0,732,95,15,2809,356,48,6,3,0,568,86,13
45-47,0,Sysselsatte,2013,2482,334,48,201,37,0,34,11,0,738,105,15,2808,375,45,3,0,0,542,90,13
45-47,0,Sysselsatte,2014,2516,337,56,202,32,0,39,12,3,760,112,18,2784,383,49,3,0,0,547,88,9
45-47,0,Sysselsatte,2015,2388,323,35,186,35,0,32,10,0,713,104,9,2615,359,46,6,0,0,520,94,9
45-47,0,Sysselsatte,2016,2378,329,32,179,31,0,34,10,0,707,104,12,2606,357,44,6,0,0,508,98,4
