Aar,NACE2007,SN2007,alder,ansatte
2009,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,189
2010,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,205
2011,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,189
2012,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,202
2013,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,182
2014,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,173
2015,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,170
2016,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,168
2017,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,164
2018,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,171
2019,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,158
2020,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,158
2008,49-53,Transport og lagring,15-74 år,82
2009,49-53,Transport og lagring,15-74 år,82
2010,49-53,Transport og lagring,15-74 år,85
2011,49-53,Transport og lagring,15-74 år,93
2012,49-53,Transport og lagring,15-74 år,90
2013,49-53,Transport og lagring,15-74 år,70
2014,49-53,Transport og lagring,15-74 år,66
2015,49-53,Transport og lagring,15-74 år,64
2016,49-53,Transport og lagring,15-74 år,67
2017,49-53,Transport og lagring,15-74 år,77
2018,49-53,Transport og lagring,15-74 år,69
2019,49-53,Transport og lagring,15-74 år,70
2020,49-53,Transport og lagring,15-74 år,75
2008,55-56,Overnattings- og serveringsvirksomhet,15-74 år,50
2009,55-56,Overnattings- og serveringsvirksomhet,15-74 år,52
2010,55-56,Overnattings- og serveringsvirksomhet,15-74 år,59
2011,55-56,Overnattings- og serveringsvirksomhet,15-74 år,56
2012,55-56,Overnattings- og serveringsvirksomhet,15-74 år,41
2013,55-56,Overnattings- og serveringsvirksomhet,15-74 år,46
2014,55-56,Overnattings- og serveringsvirksomhet,15-74 år,42
2015,55-56,Overnattings- og serveringsvirksomhet,15-74 år,48
2016,55-56,Overnattings- og serveringsvirksomhet,15-74 år,44
2017,55-56,Overnattings- og serveringsvirksomhet,15-74 år,55
2018,55-56,Overnattings- og serveringsvirksomhet,15-74 år,57
2019,55-56,Overnattings- og serveringsvirksomhet,15-74 år,59
2020,55-56,Overnattings- og serveringsvirksomhet,15-74 år,33
2008,58-63,Informasjon og kommunikasjon,15-74 år,18
2009,58-63,Informasjon og kommunikasjon,15-74 år,18
2010,58-63,Informasjon og kommunikasjon,15-74 år,14
2011,58-63,Informasjon og kommunikasjon,15-74 år,14
2012,58-63,Informasjon og kommunikasjon,15-74 år,14
2013,58-63,Informasjon og kommunikasjon,15-74 år,18
2014,58-63,Informasjon og kommunikasjon,15-74 år,21
2015,58-63,Informasjon og kommunikasjon,15-74 år,24
2016,58-63,Informasjon og kommunikasjon,15-74 år,11
2017,58-63,Informasjon og kommunikasjon,15-74 år,12
2018,58-63,Informasjon og kommunikasjon,15-74 år,12
2019,58-63,Informasjon og kommunikasjon,15-74 år,15
