Naering,Kjonn,ContentsCode,Aar,Etne_15-74,Etne_55-66,Etne_67-74,Sveio_15-74,Sveio_55-66,Sveio_67-74,Bomlo_15-74,Bomlo_55-66,Bomlo_67-74,Stord_15-74,Stord_55-66,Stord_67-74,Fitjar_15-74,Fitjar_55-66,Fitjar_67-74,Tysnes_15-74,Tysnes_55-66,Tysnes_67-74,Kvinnherad_15-74,Kvinnherad_55-66,Kvinnherad_67-74,Odda+Ullens._15-74,Odda+Ullens._55-66,Odda+Ullens._67-74
86-88,0,Sysselsatte,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-88,0,Sysselsatte,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-88,0,Sysselsatte,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-88,0,Sysselsatte,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86-88,0,Sysselsatte,2020,400,87,9,634,110,17,1091,216,26,2071,370,40,327,76,8,299,63,13,1631,344,46,1233,323,39
90-99,0,Sysselsatte,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-99,0,Sysselsatte,2020,34,5,0,84,18,6,156,29,6,220,52,17,24,3,0,33,11,0,147,39,16,128,30,6
00,0,Sysselsatte,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00,0,Sysselsatte,2020,15,6,0,16,3,5,25,9,6,34,15,4,15,3,6,6,0,3,50,20,17,32,15,5
