Knr,Kjonn,Alder,ContentsCode,Aar,knavn,00-99,01-03,05-09,10-33,35-39,41-43,45-47,49-53,55-56,58-63,64-66,68-75,77-82,84,85,86-88,90-99,00
1135,0,67-74,SysselsatteArb,2018,1135,42,4,0,5,0,6,3,3,0,0,0,3,0,0,3,6,3,6
1135,0,67-74,SysselsatteArb,2019,1135,41,4,0,3,3,4,3,3,0,0,0,3,0,3,3,5,4,3
1135,0,67-74,SysselsatteArb,2020,1135,42,3,0,3,3,3,3,3,0,0,NA,3,3,0,3,5,4,NA
1145,0,15-74,SysselsatteArb,2008,1145,297,51,0,41,0,11,12,35,9,0,0,3,9,14,32,74,3,3
1145,0,15-74,SysselsatteArb,2009,1145,296,59,0,40,0,8,13,27,6,0,0,3,6,15,39,77,3,0
1145,0,15-74,SysselsatteArb,2010,1145,291,54,0,31,0,7,13,28,0,0,0,6,6,14,42,84,3,3
1145,0,15-74,SysselsatteArb,2011,1145,293,67,0,31,0,8,15,21,0,0,0,3,3,21,45,73,3,3
1145,0,15-74,SysselsatteArb,2012,1145,317,52,0,51,0,8,19,20,3,0,0,3,3,16,33,97,6,6
1145,0,15-74,SysselsatteArb,2013,1145,327,57,0,54,0,11,13,24,3,0,0,0,6,18,33,99,6,3
1145,0,15-74,SysselsatteArb,2014,1145,327,49,0,54,0,11,16,27,0,3,0,0,3,17,35,100,6,6
1145,0,15-74,SysselsatteArb,2015,1145,301,56,0,36,0,16,15,26,3,3,0,0,9,15,28,85,6,3
1145,0,15-74,SysselsatteArb,2016,1145,306,61,0,43,0,13,15,30,3,0,0,3,6,13,34,76,3,6
1145,0,15-74,SysselsatteArb,2017,1145,311,74,0,37,0,13,12,32,3,0,0,3,6,16,29,80,3,3
1145,0,15-74,SysselsatteArb,2018,1145,291,65,0,43,0,12,9,27,3,3,0,0,6,12,26,76,6,3
1145,0,15-74,SysselsatteArb,2019,1145,327,67,0,52,0,9,10,33,0,3,0,0,3,21,26,91,9,3
1145,0,15-74,SysselsatteArb,2020,1145,323,67,0,63,0,9,12,31,0,NA,0,NA,NA,18,23,82,3,3
1145,0,55-66,SysselsatteArb,2008,1145,66,11,0,9,0,3,3,6,3,0,0,0,3,4,7,17,0,0
1145,0,55-66,SysselsatteArb,2009,1145,71,11,0,8,0,3,7,3,0,0,0,0,3,4,9,20,3,0
1145,0,55-66,SysselsatteArb,2010,1145,63,3,0,7,0,3,7,3,0,0,0,0,6,6,5,20,3,0
1145,0,55-66,SysselsatteArb,2011,1145,60,8,0,4,0,3,6,3,0,0,0,0,3,10,5,15,3,0
1145,0,55-66,SysselsatteArb,2012,1145,64,6,0,7,0,3,4,3,0,0,0,0,3,8,9,18,3,0
1145,0,55-66,SysselsatteArb,2013,1145,65,6,0,8,0,3,4,6,0,0,0,0,3,8,9,15,3,0
1145,0,55-66,SysselsatteArb,2014,1145,58,5,0,8,0,0,7,3,0,0,0,0,0,6,10,16,3,0
1145,0,55-66,SysselsatteArb,2015,1145,67,8,0,5,0,3,6,9,0,0,0,0,0,7,7,16,3,3
1145,0,55-66,SysselsatteArb,2016,1145,51,6,0,3,0,4,3,9,0,0,0,0,0,6,6,14,0,0
1145,0,55-66,SysselsatteArb,2017,1145,54,6,0,5,0,4,3,13,0,0,0,0,0,6,6,11,0,0
1145,0,55-66,SysselsatteArb,2018,1145,53,6,0,8,0,3,0,12,0,0,0,0,0,3,8,10,3,0
1145,0,55-66,SysselsatteArb,2019,1145,63,9,0,11,0,3,3,12,0,0,0,0,0,6,5,14,0,0
1145,0,55-66,SysselsatteArb,2020,1145,61,10,0,14,0,3,6,9,0,NA,0,NA,NA,6,5,8,0,0
1145,0,67-74,SysselsatteArb,2008,1145,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,67-74,SysselsatteArb,2009,1145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,67-74,SysselsatteArb,2010,1145,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
1145,0,67-74,SysselsatteArb,2011,1145,7,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1145,0,67-74,SysselsatteArb,2012,1145,10,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
1145,0,67-74,SysselsatteArb,2013,1145,16,4,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,0
1145,0,67-74,SysselsatteArb,2014,1145,19,6,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,3
1145,0,67-74,SysselsatteArb,2015,1145,10,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1145,0,67-74,SysselsatteArb,2016,1145,22,10,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,3
1145,0,67-74,SysselsatteArb,2017,1145,16,9,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0
1145,0,67-74,SysselsatteArb,2018,1145,13,7,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0
1145,0,67-74,SysselsatteArb,2019,1145,21,6,0,3,0,0,0,0,0,0,0,0,0,3,0,3,6,0
1145,0,67-74,SysselsatteArb,2020,1145,13,3,0,3,0,3,0,0,0,NA,0,NA,NA,0,0,4,0,0
1146,0,15-74,SysselsatteArb,2008,1146,4048,298,825,268,51,346,362,191,156,11,13,63,31,143,353,833,85,19
1146,0,15-74,SysselsatteArb,2009,1146,4160,282,872,270,54,385,363,181,163,12,6,62,34,153,386,831,84,22
1146,0,15-74,SysselsatteArb,2010,1146,4232,270,866,252,60,394,390,135,181,104,9,76,32,145,387,810,93,28
1146,0,15-74,SysselsatteArb,2011,1146,4475,239,850,252,67,663,390,137,124,105,12,69,70,163,392,827,91,24
1146,0,15-74,SysselsatteArb,2012,1146,4423,219,909,257,61,480,434,127,136,117,13,72,85,165,406,818,97,27
1146,0,15-74,SysselsatteArb,2013,1146,4281,209,859,241,60,466,415,130,126,100,10,86,138,160,353,806,100,22
1146,0,15-74,SysselsatteArb,2014,1146,4329,190,852,220,61,450,443,137,134,88,7,96,167,164,353,842,102,23
1146,0,15-74,SysselsatteArb,2015,1146,4304,196,820,320,31,469,438,135,89,50,9,84,169,134,342,858,96,64
1146,0,15-74,SysselsatteArb,2016,1146,4314,194,790,390,31,467,445,109,92,40,10,151,152,142,338,802,105,56
1146,0,15-74,SysselsatteArb,2017,1146,4576,186,797,476,28,485,454,216,92,62,10,136,169,134,342,834,108,47
1146,0,15-74,SysselsatteArb,2018,1146,4620,182,759,628,25,500,451,105,81,60,10,169,180,139,348,834,108,41
1146,0,15-74,SysselsatteArb,2019,1146,4710,192,757,617,23,549,445,92,88,101,10,177,180,129,340,843,129,38
1146,0,15-74,SysselsatteArb,2020,1146,4773,204,NA,631,NA,510,431,178,80,115,7,153,202,143,345,844,111,33
1146,0,55-66,SysselsatteArb,2008,1146,607,77,90,30,6,24,52,38,14,0,3,9,8,42,87,110,14,3
1146,0,55-66,SysselsatteArb,2009,1146,624,72,72,34,9,33,58,31,19,3,0,9,15,38,92,121,14,4
1146,0,55-66,SysselsatteArb,2010,1146,641,69,83,33,9,39,54,17,21,20,0,12,9,39,97,115,15,9
1146,0,55-66,SysselsatteArb,2011,1146,692,66,98,36,10,46,57,19,18,18,3,16,16,38,101,127,16,7
1146,0,55-66,SysselsatteArb,2012,1146,706,66,109,42,9,45,59,17,16,23,3,20,12,40,102,122,16,5
1146,0,55-66,SysselsatteArb,2013,1146,735,51,124,45,9,47,66,25,11,21,3,23,27,40,88,130,16,9
1146,0,55-66,SysselsatteArb,2014,1146,748,45,126,38,12,40,80,28,12,21,3,26,33,38,80,138,19,9
1146,0,55-66,SysselsatteArb,2015,1146,749,50,120,40,7,55,79,27,9,6,3,23,33,36,85,140,11,25
1146,0,55-66,SysselsatteArb,2016,1146,779,52,135,52,12,51,81,26,10,6,3,29,27,31,89,143,13,19
1146,0,55-66,SysselsatteArb,2017,1146,836,45,156,65,13,58,79,38,10,16,3,31,27,29,84,150,14,18
1146,0,55-66,SysselsatteArb,2018,1146,844,37,160,84,7,55,85,21,10,17,3,35,36,33,84,141,16,20
1146,0,55-66,SysselsatteArb,2019,1146,883,38,171,87,6,65,86,19,10,26,3,32,37,36,77,147,27,16
