Naering,Kjonn,ContentsCode,Aar,Haugesund_15-74,Haugesund_55-66,Haugesund_67-74,Sauda_15-74,Sauda_55-66,Sauda_67-74,Bokn_15-74
45-47,0,SysselsatteArb,2010,3793,205,13,390,2080,6,437
45-47,0,SysselsatteArb,2011,3814,189,15,390,2149,6,467
45-47,0,SysselsatteArb,2012,3712,202,19,434,2144,6,510
45-47,0,SysselsatteArb,2013,3670,182,13,415,2030,3,506
45-47,0,SysselsatteArb,2014,3642,173,16,443,2005,3,497
45-47,0,SysselsatteArb,2015,3295,170,15,438,1983,3,462
45-47,0,SysselsatteArb,2016,3233,168,15,445,2001,6,450
45-47,0,SysselsatteArb,2017,3235,164,12,454,1991,6,483
45-47,0,SysselsatteArb,2018,3176,171,9,451,1951,3,515
45-47,0,SysselsatteArb,2019,3006,158,10,445,1939,9,490
45-47,0,SysselsatteArb,2020,2879,158,12,431,2020,NA,475
49-53,0,SysselsatteArb,2008,1261,82,35,191,1402,26,213
49-53,0,SysselsatteArb,2009,1249,82,27,181,1388,22,194
49-53,0,SysselsatteArb,2010,1141,85,28,135,1424,22,207
49-53,0,SysselsatteArb,2011,1174,93,21,137,1346,24,201
49-53,0,SysselsatteArb,2012,1211,90,20,127,1365,20,195
49-53,0,SysselsatteArb,2013,1046,70,24,130,1470,19,225
49-53,0,SysselsatteArb,2014,1069,66,27,137,1495,21,231
49-53,0,SysselsatteArb,2015,1067,64,26,135,1441,18,315
49-53,0,SysselsatteArb,2016,1001,67,30,109,1362,19,309
49-53,0,SysselsatteArb,2017,996,77,32,216,1407,20,304
49-53,0,SysselsatteArb,2018,999,69,27,105,1431,17,288
49-53,0,SysselsatteArb,2019,993,70,33,92,1430,20,269
49-53,0,SysselsatteArb,2020,820,75,31,178,1443,25,259
55-56,0,SysselsatteArb,2008,863,50,9,156,267,9,84
55-56,0,SysselsatteArb,2009,774,52,6,163,255,3,120
55-56,0,SysselsatteArb,2010,838,59,0,181,257,6,115
55-56,0,SysselsatteArb,2011,833,56,0,124,281,3,141
55-56,0,SysselsatteArb,2012,871,41,3,136,285,3,106
55-56,0,SysselsatteArb,2013,939,46,3,126,336,7,71
55-56,0,SysselsatteArb,2014,965,42,0,134,343,6,69
55-56,0,SysselsatteArb,2015,827,48,3,89,259,3,19
55-56,0,SysselsatteArb,2016,908,44,3,92,265,0,23
55-56,0,SysselsatteArb,2017,924,55,3,92,265,3,21
55-56,0,SysselsatteArb,2018,880,57,3,81,315,3,19
55-56,0,SysselsatteArb,2019,898,59,0,88,280,0,23
55-56,0,SysselsatteArb,2020,751,33,0,80,269,0,41
58-63,0,SysselsatteArb,2008,405,18,0,11,136,0,168
58-63,0,SysselsatteArb,2009,400,18,0,12,146,0,161
58-63,0,SysselsatteArb,2010,429,14,0,104,157,0,171
58-63,0,SysselsatteArb,2011,439,14,0,105,133,0,209
58-63,0,SysselsatteArb,2012,450,14,0,117,160,0,199
58-63,0,SysselsatteArb,2013,458,18,0,100,158,0,191
58-63,0,SysselsatteArb,2014,477,21,3,88,135,0,144
58-63,0,SysselsatteArb,2015,463,24,3,50,141,0,182
58-63,0,SysselsatteArb,2016,474,11,0,40,155,0,208
58-63,0,SysselsatteArb,2017,483,12,0,62,163,0,127
58-63,0,SysselsatteArb,2018,530,12,3,60,180,0,135
58-63,0,SysselsatteArb,2019,577,15,3,101,186,0,145
58-63,0,SysselsatteArb,2020,604,13,NA,115,194,0,149
64-66,0,SysselsatteArb,2008,286,20,0,13,117,0,20
64-66,0,SysselsatteArb,2009,281,11,0,6,110,0,25
64-66,0,SysselsatteArb,2010,260,15,0,9,114,0,19
64-66,0,SysselsatteArb,2011,244,17,0,12,99,0,15
64-66,0,SysselsatteArb,2012,234,13,0,13,100,0,16
64-66,0,SysselsatteArb,2013,219,12,0,10,97,0,16
64-66,0,SysselsatteArb,2014,219,3,0,7,81,0,16
64-66,0,SysselsatteArb,2015,220,3,0,9,75,0,17
64-66,0,SysselsatteArb,2016,202,6,0,10,77,0,12
64-66,0,SysselsatteArb,2017,193,3,0,10,72,0,17
64-66,0,SysselsatteArb,2018,178,3,0,10,67,0,15
64-66,0,SysselsatteArb,2019,172,3,0,10,64,0,16
64-66,0,SysselsatteArb,2020,166,NA,0,7,75,0,NA
68-75,0,SysselsatteArb,2008,995,31,3,63,420,0,117
68-75,0,SysselsatteArb,2009,1028,30,3,62,415,3,125
68-75,0,SysselsatteArb,2010,1207,35,6,76,416,3,122
68-75,0,SysselsatteArb,2011,1239,30,3,69,432,0,107
68-75,0,SysselsatteArb,2012,1284,28,3,72,414,3,119
68-75,0,SysselsatteArb,2013,1372,32,0,86,444,3,126
68-75,0,SysselsatteArb,2014,1391,37,0,96,495,0,210
68-75,0,SysselsatteArb,2015,1384,31,0,84,473,0,172
68-75,0,SysselsatteArb,2016,1332,31,3,151,448,3,136
68-75,0,SysselsatteArb,2017,1369,24,3,136,461,0,182
68-75,0,SysselsatteArb,2018,1202,28,0,169,462,0,187
68-75,0,SysselsatteArb,2019,1173,29,0,177,480,0,209
68-75,0,SysselsatteArb,2020,1098,33,NA,153,487,NA,216
77-82,0,SysselsatteArb,2008,1029,89,9,31,514,11,180
77-82,0,SysselsatteArb,2009,867,75,6,34,445,12,175
77-82,0,SysselsatteArb,2010,823,77,6,32,472,3,187
77-82,0,SysselsatteArb,2011,886,76,3,70,563,17,225
