Naering,Kjonn,ContentsCode,Aar,4611_15-74,Etne,Sveio,Boemlo,Stord,Fitjar,Tysnes,Kvinnherad,Odda+Ullensvang,4614_15-74,4614_55-66,4614_67-74,4615_15-74,4615_55-66,4615_67-74,4616_15-74,4616_55-66,4616_67-74,4617_15-74,4617_55-66,4617_67-74,4618_15-74,4618_55-66,4618_67-74
01-03,0,SysselsatteArb,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01-03,0,SysselsatteArb,2020,172,40,18,180,33,21,340,57,34,38,10,10,122,18,9,231,48,25,416,81,52,219,62,46
05-09,0,SysselsatteArb,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05-09,0,SysselsatteArb,2020,13,0,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,6,0,0
10-33,0,SysselsatteArb,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-33,0,SysselsatteArb,2020,177,32,4,48,14,0,1101,196,21,2330,624,21,141,29,0,49,7,3,1012,232,21,984,240,13
