Knr,Kjonn,ContentsCode,Aar,knavn,00-99_15-74,00-99_55-66,00-99_67-74,01-03_15-74,01-03_55-66,01-03_67-74,05-09_15-74,05-09_55-66,05-09_67-74,10-33_15-74,10-33_55-66,10-33_67-74,35-39_15-74,35-39_55-66,35-39_67-74,41-43_15-74,41-43_55-66,41-43_67-74,45-47_15-74,45-47_55-66,45-47_67-74,49-53_15-74,49-53_55-66,49-53_67-74,55-56_15-74,55-56_55-66,55-56_67-74,58-63_15-74,58-63_55-66,58-63_67-74,64-66_15-74,64-66_55-66,64-66_67-74,68-75_15-74,68-75_55-66,68-75_67-74,77-82_15-74,77-82_55-66,77-82_67-74,84_15-74,84_55-66,84_67-74,85_15-74,85_55-66,85_67-74,86-88_15-74,86-88_55-66,86-88_67-74,90-99_15-74,90-99_55-66,90-99_67-74,00_15-74,00_55-66,00_67-74
1146,0,SysselsatteArb,2013,1146,4281,735,120,209,51,40,859,124,0,241,45,9,60,9,0,466,47,8,415,66,7,130,25,0,126,11,3,100,21,3,10,3,0,86,23,4,138,27,3,160,40,3,353,88,7,806,130,20,100,16,7,22,9,6
1146,0,SysselsatteArb,2014,1146,4329,748,129,190,45,36,852,126,0,220,38,9,61,12,0,450,40,10,443,80,10,137,28,0,134,12,3,88,21,0,7,3,0,96,26,6,167,33,6,164,38,3,353,80,10,842,138,24,102,19,9,23,9,3
1146,0,SysselsatteArb,2015,1146,4304,749,127,196,50,34,820,120,0,320,40,7,31,7,0,469,55,12,438,79,7,135,27,4,89,9,3,50,6,0,9,3,0,84,23,6,169,33,3,134,36,4,342,85,11,858,140,20,96,11,5,64,25,11
1146,0,SysselsatteArb,2016,1146,4314,779,118,194,52,36,790,135,0,390,52,3,31,12,0,467,51,10,445,81,7,109,26,3,92,10,3,40,6,3,10,3,0,151,29,10,152,27,3,142,31,6,338,89,7,802,143,13,105,13,3,56,19,11
1146,0,SysselsatteArb,2017,1146,4576,836,118,186,45,34,797,156,0,476,65,8,28,13,0,485,58,13,454,79,7,216,38,3,92,10,0,62,16,0,10,3,0,136,31,9,169,27,3,134,29,5,342,84,5,834,150,14,108,14,3,47,18,14
1146,0,SysselsatteArb,2018,1146,4620,844,105,182,37,31,759,160,0,628,84,4,25,7,0,500,55,18,451,85,7,105,21,3,81,10,0,60,17,0,10,3,0,169,35,8,180,36,0,139,33,3,348,84,3,834,141,13,108,16,6,41,20,9
1146,0,SysselsatteArb,2019,1146,4710,883,116,192,38,32,757,171,3,617,87,6,23,6,0,549,65,17,445,86,4,92,19,3,88,10,0,101,26,3,10,3,0,177,32,11,180,37,0,129,36,0,340,77,4,843,147,11,129,27,12,38,16,10
1146,0,SysselsatteArb,2020,1146,4773,917,99,204,43,33,NA,NA,NA,631,105,8,NA,NA,NA,510,68,13,431,83,4,178,40,6,80,7,3,115,28,3,7,0,0,153,28,7,202,44,0,143,32,0,345,82,0,844,142,8,111,24,3,33,12,8
1149,0,SysselsatteArb,2008,1149,15194,2549,254,472,120,55,55,15,3,3357,553,34,120,20,0,1472,172,18,2026,266,31,1402,247,32,267,12,3,136,15,0,117,29,3,420,78,10,514,102,12,394,84,3,1203,282,14,2771,462,21,371,61,7,97,31,8
1149,0,SysselsatteArb,2009,1149,14666,2583,273,462,115,56,134,14,3,2806,522,34,101,21,0,1442,187,18,1968,264,38,1388,257,26,255,14,3,146,11,3,110,27,0,415,92,17,445,93,11,367,81,6,1244,298,11,2885,489,27,404,67,12,94,31,8
