"03321: Sysselsatte (15-74 år) per 4. kvartal. Pendlingsstrømmer, etter statistikkvariabel, arbeidsstedskommune, bostedskommune og år"

"statistikkvariabel";"arbeidsstedskommune";"bostedskommune";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Sysselsatte personer";"1146 Tysvær";"4615 Fitjar";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
"Sysselsatte personer";"1146 Tysvær";"4616 Tysnes";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sysselsatte personer";"1146 Tysvær";"4617 Kvinnherad";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
"Sysselsatte personer";"1146 Tysvær";"4618 Ullensvang";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"Sysselsatte personer";"1146 Tysvær";"1211 Etne (-2019)";20;22;23;20;20;22;24;20;21;18;18;23;21;19;20;20;24;23;32;32;0
"Sysselsatte personer";"1146 Tysvær";"1216 Sveio (-2019)";71;85;73;81;102;97;97;101;95;106;121;126;131;112;120;129;128;143;143;137;0
"Sysselsatte personer";"1146 Tysvær";"1219 Bømlo (1916-2019)";4;6;8;9;9;6;4;5;8;12;9;5;3;5;9;9;9;12;12;14;0
"Sysselsatte personer";"1146 Tysvær";"1221 Stord (-2019)";9;4;6;4;3;9;17;14;10;9;22;21;20;20;16;12;12;26;21;32;0
"Sysselsatte personer";"1146 Tysvær";"1222 Fitjar (-2019)";2;2;3;1;3;2;1;1;0;0;0;0;1;2;1;3;4;3;2;2;0
"Sysselsatte personer";"1146 Tysvær";"1223 Tysnes (-2019)";0;0;1;0;1;0;1;0;1;2;1;0;0;1;1;0;0;1;1;0;0
"Sysselsatte personer";"1146 Tysvær";"1224 Kvinnherad (-2019)";2;2;4;3;4;2;1;2;1;2;5;7;6;8;5;3;4;2;2;6;0
"Sysselsatte personer";"1146 Tysvær";"1228 Odda (1913-2019)";3;1;3;4;10;6;5;2;2;4;5;2;4;3;4;3;3;4;5;1;0
"Sysselsatte personer";"1146 Tysvær";"1231 Ullensvang (1977-2019)";0;0;0;1;1;1;0;1;2;2;0;0;1;1;1;3;2;1;1;0;0
"Sysselsatte personer";"1149 Karmøy";"1106 Haugesund";1664;1705;1732;1748;1762;1778;1895;2048;2065;1908;1884;1991;2077;2221;2269;2234;2327;2405;2496;2545;2586
