Knr,Naering,Kjonn,Alder,ContentsCode,Aar,value
4611,45-47,0,55-66,SysselsatteArb,2010,0
4611,45-47,0,55-66,SysselsatteArb,2011,0
4611,45-47,0,55-66,SysselsatteArb,2012,0
4611,45-47,0,55-66,SysselsatteArb,2013,0
4611,45-47,0,55-66,SysselsatteArb,2014,0
4611,45-47,0,55-66,SysselsatteArb,2015,0
4611,45-47,0,55-66,SysselsatteArb,2016,0
4611,45-47,0,55-66,SysselsatteArb,2017,0
4611,45-47,0,55-66,SysselsatteArb,2018,0
4611,45-47,0,55-66,SysselsatteArb,2019,0
4611,45-47,0,55-66,SysselsatteArb,2020,36
4611,45-47,0,67-74,SysselsatteArb,2008,0
4611,45-47,0,67-74,SysselsatteArb,2009,0
4611,45-47,0,67-74,SysselsatteArb,2010,0
4611,45-47,0,67-74,SysselsatteArb,2011,0
4611,45-47,0,67-74,SysselsatteArb,2012,0
4611,45-47,0,67-74,SysselsatteArb,2013,0
4611,45-47,0,67-74,SysselsatteArb,2014,0
4611,45-47,0,67-74,SysselsatteArb,2015,0
4611,45-47,0,67-74,SysselsatteArb,2016,0
4611,45-47,0,67-74,SysselsatteArb,2017,0
4611,45-47,0,67-74,SysselsatteArb,2018,0
4611,45-47,0,67-74,SysselsatteArb,2019,0
4611,45-47,0,67-74,SysselsatteArb,2020,3
4611,49-53,0,15-74,SysselsatteArb,2008,0
4611,49-53,0,15-74,SysselsatteArb,2009,0
4611,49-53,0,15-74,SysselsatteArb,2010,0
4611,49-53,0,15-74,SysselsatteArb,2011,0
4611,49-53,0,15-74,SysselsatteArb,2012,0
4611,49-53,0,15-74,SysselsatteArb,2013,0
4611,49-53,0,15-74,SysselsatteArb,2014,0
4611,49-53,0,15-74,SysselsatteArb,2015,0
4611,49-53,0,15-74,SysselsatteArb,2016,0
4611,49-53,0,15-74,SysselsatteArb,2017,0
4611,49-53,0,15-74,SysselsatteArb,2018,0
4611,49-53,0,15-74,SysselsatteArb,2019,0
4611,49-53,0,15-74,SysselsatteArb,2020,48
4611,49-53,0,55-66,SysselsatteArb,2008,0
4611,49-53,0,55-66,SysselsatteArb,2009,0
4611,49-53,0,55-66,SysselsatteArb,2010,0
4611,49-53,0,55-66,SysselsatteArb,2011,0
4611,49-53,0,55-66,SysselsatteArb,2012,0
4611,49-53,0,55-66,SysselsatteArb,2013,0
4611,49-53,0,55-66,SysselsatteArb,2014,0
4611,49-53,0,55-66,SysselsatteArb,2015,0
4611,49-53,0,55-66,SysselsatteArb,2016,0
4611,49-53,0,55-66,SysselsatteArb,2017,0
4611,49-53,0,55-66,SysselsatteArb,2018,0
4611,49-53,0,55-66,SysselsatteArb,2019,0
4611,49-53,0,55-66,SysselsatteArb,2020,9
4611,49-53,0,67-74,SysselsatteArb,2008,0
4611,49-53,0,67-74,SysselsatteArb,2009,0
4611,49-53,0,67-74,SysselsatteArb,2010,0
4611,49-53,0,67-74,SysselsatteArb,2011,0
4611,49-53,0,67-74,SysselsatteArb,2012,0
4611,49-53,0,67-74,SysselsatteArb,2013,0
4611,49-53,0,67-74,SysselsatteArb,2014,0
4611,49-53,0,67-74,SysselsatteArb,2015,0
4611,49-53,0,67-74,SysselsatteArb,2016,0
4611,49-53,0,67-74,SysselsatteArb,2017,0
4611,49-53,0,67-74,SysselsatteArb,2018,0
4611,49-53,0,67-74,SysselsatteArb,2019,0
4611,49-53,0,67-74,SysselsatteArb,2020,6
4611,55-56,0,15-74,SysselsatteArb,2008,0
4611,55-56,0,15-74,SysselsatteArb,2009,0
4611,55-56,0,15-74,SysselsatteArb,2010,0
4611,55-56,0,15-74,SysselsatteArb,2011,0
4611,55-56,0,15-74,SysselsatteArb,2012,0
4611,55-56,0,15-74,SysselsatteArb,2013,0
4611,55-56,0,15-74,SysselsatteArb,2014,0
4611,55-56,0,15-74,SysselsatteArb,2015,0
4611,55-56,0,15-74,SysselsatteArb,2016,0
4611,55-56,0,15-74,SysselsatteArb,2017,0
4611,55-56,0,15-74,SysselsatteArb,2018,0
4611,55-56,0,15-74,SysselsatteArb,2019,0
4611,55-56,0,15-74,SysselsatteArb,2020,51
4611,55-56,0,55-66,SysselsatteArb,2008,0
