Knr,Kjonn,Alder,ContentsCode,Aar,Alle naeringer,"Jordbruk, skogbruk og fiske",Bergverksdrift og utvinning,Industri,"Elektrisitet, vann og renevasjon",Bygge- og anleggsvirksomhet,"Varehandel, reparasjon av motorvogner",Transport og lagring,Overnattings- og serveringsvriksomhet,Informasjon og kommunikasjon,Finansiering og forsikring ,"Teknisk tjenesteyting, eiendosmdrift",Forretningsmessig tjenesteyting,"Off.adm., forsvar, sosialforsikring",Undervisning,Helse- og sosialtjenester,Personlig tjenesteyting,Uoppgitt
1135,0,67-74,Sysselsatte,2011,53,11,0,6,3,3,3,0,0,3,0,3,3,0,3,12,3,0
1135,0,67-74,Sysselsatte,2012,40,9,0,3,0,4,0,3,0,3,0,3,3,0,0,5,4,3
1135,0,67-74,Sysselsatte,2013,50,11,0,3,3,9,0,3,0,3,0,3,0,3,0,6,6,0
1135,0,67-74,Sysselsatte,2014,43,9,0,3,0,3,0,3,0,0,0,4,0,3,0,12,3,3
1135,0,67-74,Sysselsatte,2015,46,6,0,0,0,4,0,3,0,0,0,3,3,3,3,10,3,8
1135,0,67-74,Sysselsatte,2016,41,3,0,3,0,4,0,3,0,0,0,3,0,3,3,13,3,3
1135,0,67-74,Sysselsatte,2017,42,4,0,0,0,7,0,3,0,0,0,4,3,3,0,9,0,9
1135,0,67-74,Sysselsatte,2018,50,4,0,6,0,7,3,0,3,0,0,3,0,3,3,9,3,6
1135,0,67-74,Sysselsatte,2019,47,5,3,4,0,5,3,3,0,0,0,0,3,3,0,8,4,6
1135,0,67-74,Sysselsatte,2020,42,5,0,4,0,3,3,3,0,0,0,0,3,3,0,8,4,6
1145,0,15-74,Sysselsatte,2008,412,57,30,48,3,28,41,55,12,6,3,6,9,18,25,68,3,0
1145,0,15-74,Sysselsatte,2009,407,61,31,39,0,28,40,51,16,3,3,9,6,20,28,69,3,0
1145,0,15-74,Sysselsatte,2010,420,63,36,36,3,26,33,52,17,6,0,11,12,17,33,66,6,3
1145,0,15-74,Sysselsatte,2011,428,72,39,39,3,24,37,47,12,6,3,12,10,19,35,64,3,3
1145,0,15-74,Sysselsatte,2012,425,63,42,39,3,24,39,50,9,6,3,6,12,19,23,75,9,3
1145,0,15-74,Sysselsatte,2013,439,55,46,44,0,35,34,56,3,6,0,6,16,17,32,77,9,3
1145,0,15-74,Sysselsatte,2014,434,55,45,46,0,36,39,56,3,6,0,6,10,18,28,77,6,3
1145,0,15-74,Sysselsatte,2015,424,61,42,42,0,42,32,56,6,3,3,3,10,12,27,76,6,3
1145,0,15-74,Sysselsatte,2016,427,68,41,40,3,35,34,58,3,3,3,3,12,18,24,73,3,6
1145,0,15-74,Sysselsatte,2017,424,79,36,39,0,40,29,56,6,3,0,3,12,17,23,75,3,3
1145,0,15-74,Sysselsatte,2018,425,73,39,45,0,35,37,53,3,3,3,3,9,16,23,74,6,3
1145,0,15-74,Sysselsatte,2019,443,75,40,47,0,31,37,47,3,6,0,3,6,21,24,88,9,6
1145,0,15-74,Sysselsatte,2020,439,67,36,56,0,34,40,47,6,6,3,6,6,14,22,89,7,0
1145,0,55-66,Sysselsatte,2008,82,14,4,9,0,5,7,8,0,0,3,3,3,7,7,12,0,0
1145,0,55-66,Sysselsatte,2009,81,14,6,8,0,6,8,7,0,0,0,0,3,6,8,15,0,0
1145,0,55-66,Sysselsatte,2010,76,8,3,4,0,6,9,7,0,3,0,0,6,6,7,14,3,0
1145,0,55-66,Sysselsatte,2011,71,9,3,8,0,3,8,6,0,0,0,0,3,7,8,13,0,3
1145,0,55-66,Sysselsatte,2012,78,5,5,5,0,4,12,9,0,0,0,0,3,7,10,12,3,3
1145,0,55-66,Sysselsatte,2013,79,4,5,11,0,4,11,10,0,3,0,0,0,8,9,11,3,0
1145,0,55-66,Sysselsatte,2014,79,6,4,7,0,5,12,10,0,3,0,0,0,3,10,13,3,3
1145,0,55-66,Sysselsatte,2015,90,8,4,8,0,7,10,16,3,0,0,0,0,6,9,13,3,3
1145,0,55-66,Sysselsatte,2016,92,7,8,8,0,8,10,15,3,0,0,0,3,6,8,16,0,0
1145,0,55-66,Sysselsatte,2017,88,10,4,7,0,7,9,19,3,0,0,0,0,7,12,10,0,0
1145,0,55-66,Sysselsatte,2018,82,8,4,8,0,6,10,18,0,0,0,0,0,7,11,10,0,0
1145,0,55-66,Sysselsatte,2019,89,9,5,8,0,6,9,17,3,0,0,0,0,8,8,16,0,0
1145,0,55-66,Sysselsatte,2020,89,11,4,10,0,7,7,13,3,0,0,0,3,8,8,15,0,0
