Naering,Kjonn,Alder,ContentsCode,Aar,Haugesund,Sauda,Bokn,Tysvaer,Karmoey,Utsira,Vindafjord
00-99,0,67-74,SysselsatteArb,2009,350,45,0,104,273,0,141
00-99,0,67-74,SysselsatteArb,2010,369,40,7,90,265,3,138
00-99,0,67-74,SysselsatteArb,2011,404,41,7,102,290,6,140
00-99,0,67-74,SysselsatteArb,2012,423,38,10,130,313,0,140
00-99,0,67-74,SysselsatteArb,2013,460,43,16,120,340,3,162
00-99,0,67-74,SysselsatteArb,2014,468,38,19,129,358,6,157
00-99,0,67-74,SysselsatteArb,2015,420,40,10,127,342,9,153
00-99,0,67-74,SysselsatteArb,2016,440,44,22,118,356,3,171
00-99,0,67-74,SysselsatteArb,2017,483,33,16,118,364,6,193
00-99,0,67-74,SysselsatteArb,2018,476,42,13,105,373,6,185
00-99,0,67-74,SysselsatteArb,2019,475,41,21,116,384,6,197
00-99,0,67-74,SysselsatteArb,2020,433,42,13,99,386,3,186
01-03,0,15-74,SysselsatteArb,2008,74,36,51,298,472,9,678
01-03,0,15-74,SysselsatteArb,2009,67,43,59,282,462,6,658
01-03,0,15-74,SysselsatteArb,2010,72,36,54,270,447,9,649
01-03,0,15-74,SysselsatteArb,2011,66,36,67,239,378,9,684
01-03,0,15-74,SysselsatteArb,2012,69,39,52,219,369,6,623
01-03,0,15-74,SysselsatteArb,2013,71,36,57,209,357,3,571
01-03,0,15-74,SysselsatteArb,2014,70,33,49,190,337,6,571
01-03,0,15-74,SysselsatteArb,2015,80,25,56,196,340,6,627
01-03,0,15-74,SysselsatteArb,2016,67,26,61,194,367,6,633
01-03,0,15-74,SysselsatteArb,2017,70,21,74,186,347,6,625
01-03,0,15-74,SysselsatteArb,2018,65,28,65,182,358,6,608
01-03,0,15-74,SysselsatteArb,2019,89,30,67,192,329,6,567
01-03,0,15-74,SysselsatteArb,2020,83,26,67,204,338,6,578
01-03,0,55-66,SysselsatteArb,2008,15,12,11,77,120,3,143
01-03,0,55-66,SysselsatteArb,2009,15,12,11,72,115,3,126
01-03,0,55-66,SysselsatteArb,2010,14,11,3,69,98,3,121
01-03,0,55-66,SysselsatteArb,2011,12,7,8,66,97,3,125
01-03,0,55-66,SysselsatteArb,2012,15,7,6,66,84,0,103
01-03,0,55-66,SysselsatteArb,2013,11,5,6,51,85,0,98
01-03,0,55-66,SysselsatteArb,2014,16,5,5,45,87,3,89
01-03,0,55-66,SysselsatteArb,2015,16,3,8,50,89,3,98
01-03,0,55-66,SysselsatteArb,2016,12,7,6,52,80,0,97
01-03,0,55-66,SysselsatteArb,2017,15,3,6,45,81,0,97
01-03,0,55-66,SysselsatteArb,2018,16,7,6,37,79,3,115
01-03,0,55-66,SysselsatteArb,2019,16,7,9,38,84,3,103
01-03,0,55-66,SysselsatteArb,2020,14,7,10,43,82,3,108
01-03,0,67-74,SysselsatteArb,2008,5,3,3,37,55,0,57
01-03,0,67-74,SysselsatteArb,2009,6,6,0,43,56,0,65
01-03,0,67-74,SysselsatteArb,2010,8,3,4,30,56,0,62
01-03,0,67-74,SysselsatteArb,2011,9,7,4,30,44,0,64
01-03,0,67-74,SysselsatteArb,2012,10,7,4,40,59,0,70
01-03,0,67-74,SysselsatteArb,2013,11,9,4,40,56,0,66
01-03,0,67-74,SysselsatteArb,2014,13,8,6,36,51,0,60
01-03,0,67-74,SysselsatteArb,2015,10,3,7,34,53,0,57
01-03,0,67-74,SysselsatteArb,2016,9,3,10,36,54,0,62
01-03,0,67-74,SysselsatteArb,2017,8,3,9,34,53,0,67
01-03,0,67-74,SysselsatteArb,2018,5,4,7,31,45,0,60
01-03,0,67-74,SysselsatteArb,2019,6,4,6,32,39,3,58
01-03,0,67-74,SysselsatteArb,2020,6,3,3,33,54,0,55
05-09,0,15-74,SysselsatteArb,2008,452,0,0,825,55,0,6
05-09,0,15-74,SysselsatteArb,2009,455,0,0,872,134,0,6
05-09,0,15-74,SysselsatteArb,2010,318,0,0,866,161,0,3
05-09,0,15-74,SysselsatteArb,2011,335,0,0,850,172,0,3
05-09,0,15-74,SysselsatteArb,2012,379,0,0,909,187,0,3
05-09,0,15-74,SysselsatteArb,2013,404,0,0,859,209,0,0
